date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-12-31,6,2,9,,,,,,,
2021-01-01,2.5,1,4,,,,,,,
2021-01-02,5.5,2,11,6.1,,316,17.5,,1012.5,
2021-01-03,2.4,2,3,5.2,,41,15.6,,1017.3,
2021-01-04,3.4,2,6,0.6,,3,11.2,,1015,
2021-01-05,3.4,2,4,0.2,,356,9.5,,1013.6,
2021-01-06,2.7,1,4,0,,332,15.5,,1016,
2021-01-07,1.5,-1,5,0,,326,13.7,,1019.2,
2021-01-08,-0.1,-2,3,0,,351,12.3,,1016.2,
2021-01-09,-0.4,-4,2,0,,355,13.9,,1012.8,
2021-01-10,1.1,-2,5,0,,352,9.1,,1022.6,
2021-01-11,0.3,-2,3,0,,275,5.5,,1025.4,
2021-01-12,3.2,1,7,0,,273,7.9,,1020.1,
2021-01-13,4.1,2,6,0,,258,9,,1016.3,
2021-01-14,6.2,4,9,0,,246,5.2,,1010.8,
2021-01-15,5.2,3,8,5.8,,65,17,,1013.6,
2021-01-16,5.5,3,8,22.7,,298,16.2,,998.4,
2021-01-17,4.5,2,7,0,,253,21.4,,1003.2,
2021-01-18,4.8,3,7,0.3,,257,16.2,,1007.9,
2021-01-19,3.1,2,6,0,,261,17.6,,1017.6,
2021-01-20,1.4,-3,4,1.4,,289,14.7,,1014.5,
2021-01-21,1.5,-3,6,0,,227,11,,1008.6,
2021-01-22,4.7,2,7,0,,274,19.8,,1006.3,
2021-01-23,-1.6,-4,2,0,,303,24.4,,1017.6,
2021-01-24,-2.9,-6,0,0,,307,19.7,,1021.1,
2021-01-25,-0.9,-5,3,0,,339,7.8,,1019.8,
2021-01-26,0.9,0,1,6.5,,56,12.3,,1014.9,
2021-01-27,1.1,-1,3,1,,329,13.9,,1015.3,
2021-01-28,-2.5,-7,1,0,,332,24,,1019.1,
2021-01-29,-6.7,-9,-4,0,,318,26.3,,1020.6,
2021-01-30,-4.6,-8,0,0,,322,15.1,,1025.5,
2021-01-31,-5.1,-7,-3,1.7,,48,10.3,,1026,
2021-02-01,-1.2,-5,1,27.6,,35,34.8,,1010.5,
2021-02-02,-0.2,-1,1,2.4,,356,29.7,,997.2,
2021-02-03,0,-2,3,0,,312,14.7,,1000.1,
2021-02-04,2.5,-1,6,0,,289,12.1,,1010.5,
2021-02-05,5.5,3,8,1.3,,209,12.3,,1007,
2021-02-06,3.9,1,7,0,,259,15.1,,1017,
2021-02-07,0.8,-4,4,10,,8,14.4,,1015.7,
2021-02-08,-4.7,-8,-2,0,,275,11.9,,1028.4,
2021-02-09,-1.2,-3,1,2.7,,5,10,,1024.2,
2021-02-10,-1,-3,2,0.4,,307,7.4,,1026.3,
2021-02-11,-1.9,-3,0,4,,6,9.9,,1024.9,
2021-02-12,-3.5,-7,-1,0,,3,7.5,,1027.8,
2021-02-13,-2.4,-4,-1,0.7,,25,12.8,,1026.1,
2021-02-14,0.2,-3,3,0.1,,10,7.9,,1023.6,
2021-02-15,0.6,-1,2,1.1,,20,10.8,,1022.4,
2021-02-16,4.8,1,11,27.6,,224,16.6,,1006.4,
2021-02-17,-2,-6,1,0,,317,12.4,,1026.8,
2021-02-18,-2.5,-4,-1,6.9,,33,14,,1029.3,
2021-02-19,-0.7,-2,1,7,,12,13.3,,1019.9,
2021-02-20,-0.6,-3,1,0,,298,15.5,,1019.8,
2021-02-21,-0.8,-4,2,0,,281,11.5,,1031.6,
2021-02-22,1.9,0,4,11.6,,213,14.6,,1017.7,
2021-02-23,4.7,2,7,0.4,,257,17,,1006,
2021-02-24,8.1,4,12,0,,229,16.8,,1013.8,
